1,iPhone 13 Pro Max,Electronics,1299,10
2,Samsung Galaxy S21 Ultra,Electronics,1199,15
3,MacBook Pro M1,Electronics,1699,5
4,Dell XPS 13,Electronics,1199,8
5,Sony WH-1000XM4,Electronics,349,20
6,Bose QuietComfort 35 II,Electronics,299,15
7,Nintendo Switch,Electronics,299,10
8,PlayStation 5,Electronics,499,5
9,Xbox Series X,Electronics,499,3
10,Canon EOS R5,Electronics,3799,2
11,Sony Alpha a7 III,Electronics,1999,5
12,GoPro Hero 10 Black,Electronics,499,15
13,Samsung 55 QN90A QLED TV,Electronics,1999,4
14,LG OLED77C1PUB 77 OLED TV,Electronics,3999,3
15,Nike Air Max 90,Clothing,120,50
16,Adidas Ultraboost 21,Clothing,180,30
17,Levi's 501 Original Fit Jeans,Clothing,69,25
18,Patagonia Better Sweater,Clothing,139,20
19,Lululemon Align Pant II,Clothing,98,25
20,The North Face Thermoball Eco Jacket,Clothing,199,15
21,Ralph Lauren Classic Fit Polo Shirt,Clothing,89,35
22,Tommy Hilfiger Men's Leather Belt,Clothing,39,40
23,Gucci GG Marmont Mini Bag,Accessories,1790,5
24,Ray-Ban Classic Aviator Sunglasses,Accessories,149,25
25,Apple Watch Series 7,Accessories,399,10
26,Logitech MX Master 3,Electronics,99,30
27,Bose SoundLink Revolve+ Portable Bluetooth Speaker,Electronics,299,10
28,Samsung Galaxy Tab S7+,Electronics,849,5
29,Apple iPad Air,Electronics,599,15
30,Amazon Kindle Paperwhite,Electronics,129,20
31,Samsung Galaxy Buds Pro,Electronics,199,20
32,AirPods Pro,Electronics,249,10
33,Sony WH-1000XM3,Electronics,279,15
34,Beats Solo3 Wireless On-Ear Headphones,Electronics,199,25
35,Fitbit Versa 3,Electronics,229,10
36,Nike Flex Stride 2-in-1 Running Shorts,Clothing,55,40
37,Under Armour Tech 2.0 Short Sleeve T-Shirt,Clothing,25,50
38,Puma Iconic MCS Track Jacket,Clothing,65,20
39,The North Face Base Camp Duffel Bag,Accessories,139,10
40,Oakley Holbrook Sunglasses,Accessories,133,15
